rank,repo,stars,category,relevance_level,final_score,should_deep_read,should_integrate,reason
1,qgis/QGIS,13883,QGIS官方/核心生态,A,95,Yes,Yes,QGIS核心源码;PyQGIS API参考;Processing框架
2,joewdavies/geoblender,1829,样式/QML/制图资源,B,70,No,Yes,QGIS+Blender 3D地图;制图高级技巧
3,opengisch/QField,1261,移动端/QField/Mergin,C,45,No,No,移动端野外采集;非桌面自动化
4,giswqs/qgis-earthengine-examples,984,PyQGIS自动化,A,90,Yes,Yes,300+ PyQGIS+GEE示例;代码模式核心来源
5,jjsantos01/qgis_mcp,971,LLM/Agent/QGIS自动控制,A,92,Yes,Yes,LLM控制QGIS的核心参考;MCP协议
6,qgis2web/qgis2web,698,QGIS插件,B,68,No,Yes,项目导出Web地图;布局导出思路
7,qgis/QGIS-Documentation,599,QGIS官方/核心生态,A,85,Yes,Yes,官方PyQGIS文档;权威API参考
8,minorua/Qgis2threejs,586,地图布局与导出,B,62,No,Yes,3D可视化;DEM地形表达
9,gee-community/qgis-earthengine-plugin,509,QGIS插件,B,60,No,No,GEE集成;需要GEE账号
10,coolzhao/Geo-SAM,408,QGIS插件,B,65,No,Yes,SAM分割;遥感自动提取参考
11,opengeos/GeoAgent,366,LLM/Agent/QGIS自动控制,A,78,Yes,Yes,多模态AI Agent;Claude指令设计参考
12,qgis/qwc2,362,QGIS Server/WebGIS,C,40,No,No,Web客户端;非桌面自动化
13,opengeos/qgis-gee-data-catalogs-plugin,350,QGIS插件,B,55,No,No,GEE数据目录;需要GEE
14,3liz/lizmap-web-client,328,QGIS Server/WebGIS,C,42,No,No,WebGIS发布;非自动化
15,NationalSecurityAgency/qgis-latlontools-plugin,326,QGIS插件,B,58,No,No,坐标工具;非制图核心
16,anitagraser/QGIS-resources,300,PyQGIS自动化,A,82,Yes,Yes,QGIS资源大全;Processing脚本;代码模式
17,inasafe/inasafe,279,QGIS插件,C,40,No,No,灾害评估;已停止活跃开发
18,QuickOSM/QuickOSM,250,QGIS插件,B,58,No,Yes,OSM数据获取;数据源工具
19,geographyclub/qgis-expressions,245,教程/示例,B,55,No,Yes,QGIS表达式参考;字段计算参考
20,r-spatial/qgisprocess,221,Processing/空间分析,B,60,No,Yes,R语言QGIS Processing;Processing算法参考
21,qgis/qgis-js,215,QGIS Server/WebGIS,C,35,No,No,WASM;非桌面
22,ghtmtt/DataPlotly,207,样式/QML/制图资源,B,65,No,Yes,Plotly图表;统计图嵌入
