rank,repo,url,stars,language,license,updated,type,chinese_relevance,academic_relevance,main_use,recommendation,score,capability_tags,integration_action,license_risk,complexity_risk,copy_code_allowed,should_extract_prompt,should_create_script,should_create_skill,local_asset,reason
1,funNLP,https://github.com/fighting41love/funNLP,81062,Python,,2026-06-04,资源合集,高,中,中文NLP资源大全（含纠错/分词/情感分析/知识图谱）,强烈推荐,92,grammar_correction;resource_index,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
2,gpt_academic,https://github.com/binary-husky/gpt_academic,70819,Python,GPL-3.0,2026-06-04,工具,高,高,GPT学术优化：论文阅读/润色/写作一体化,强烈推荐,95,academic_polish,resource_index_only,high,medium,no,no,no,no,,Auto-classified: resource_index_only
3,pycorrector,https://github.com/shibing624/pycorrector,6450,Python,Apache-2.0,2026-06-04,Python包,高,高,中文文本纠错工具包（Kenlm/T5/MacBERT/ChatGLM3/Qwen2.5）,强烈推荐,90,grammar_correction,prompt_template,low,medium,yes,yes,no,no,,Auto-classified: prompt_template
4,thuthesis,https://github.com/tuna/thuthesis,5382,TeX,LPPL-1.3c,2026-06-04,LaTeX模板,高,高,清华大学学位论文LaTeX模板,强烈推荐,88,markdown_latex_typst,format_template_reference,low,medium,yes,no,no,no,,Auto-classified: format_template_reference
5,text2vec,https://github.com/shibing624/text2vec,4966,Python,Apache-2.0,2026-05-31,Python包,高,中,文本向量化/语义相似度（Word2Vec/SBERT/CoSENT）,推荐,82,resource_index,prompt_template,low,medium,yes,yes,no,no,,Auto-classified: prompt_template
6,chatgpt-prompts-for-academic-writing,https://github.com/ahmetbersoz/chatgpt-prompts-for-academic-writing,4710,,,2026-06-04,Prompt仓库,中,高,学术写作ChatGPT提示词最全合集,强烈推荐,85,academic_polish;writing_prompt;resource_index,prompt_template,medium,medium,no,yes,no,no,,Auto-classified: prompt_template
7,Paper-Writing-Tips,https://github.com/MLNLP-World/Paper-Writing-Tips,4477,,,2026-06-04,教程,中,高,MLNLP论文写作避坑指南（中文社区维护）,强烈推荐,86,academic_polish;writing_guide,checklist_rule,medium,medium,no,no,no,no,,Auto-classified: checklist_rule
8,zotfile,https://github.com/jlegewie/zotfile,4329,Java,,2026-06-03,Zotero插件,高,高,Zotero PDF附件管理/重命名/同步,强烈推荐,88,citation_reference;zotero_obsidian,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
9,ucasthesis,https://github.com/mohuangrui/ucasthesis,3866,TeX,,2026-06-04,LaTeX模板,高,高,中国科学院大学学位论文LaTeX模板,强烈推荐,87,markdown_latex_typst,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
10,SJTUThesis,https://github.com/sjtug/SJTUThesis,3793,TeX,Apache-2.0,2026-06-04,LaTeX模板,高,高,上海交通大学学位论文LaTeX模板,强烈推荐,87,markdown_latex_typst,prompt_template,low,medium,yes,yes,no,no,,Auto-classified: prompt_template
